subject_id,split,size,z,depth,slice_score,n_classes_in_slice,class_name,class_idx,area,area_frac
s0006,train,128,105,128,11.6376,18,small_bowel,82,272,0.0166
s0006,train,128,105,128,11.6376,18,colon,13,233,0.01422
s0006,train,128,105,128,11.6376,18,kidney_right,43,225,0.01373
s0006,train,128,105,128,11.6376,18,gallbladder,21,141,0.00861
s0006,train,128,105,128,11.6376,18,iliopsoas_right,38,132,0.00806
s0006,train,128,105,128,11.6376,18,stomach,86,119,0.00726
s0006,train,128,105,128,11.6376,18,pancreas,50,110,0.00671
s0006,train,128,105,128,11.6376,18,iliopsoas_left,37,109,0.00665
s0006,train,128,105,128,11.6376,18,duodenum,17,105,0.00641
s0006,train,128,105,128,11.6376,18,vertebrae_L2,101,69,0.00421
s0006,train,128,105,128,11.6376,18,inferior_vena_cava,39,68,0.00415
s0006,train,128,105,128,11.6376,18,vertebrae_L3,102,43,0.00262
s0006,train,128,105,128,11.6376,18,spinal_cord,83,41,0.0025
s0006,train,128,105,128,11.6376,18,aorta,3,38,0.00232
s0009,train,128,104,128,10.2393,15,vertebrae_L1,100,386,0.02356
s0009,train,128,104,128,10.2393,15,liver,44,358,0.02185
s0009,train,128,104,128,10.2393,15,kidney_left,42,340,0.02075
s0009,train,128,104,128,10.2393,15,kidney_right,43,300,0.01831
s0009,train,128,104,128,10.2393,15,small_bowel,82,280,0.01709
s0009,train,128,104,128,10.2393,15,autochthon_left,5,233,0.01422
s0009,train,128,104,128,10.2393,15,autochthon_right,6,209,0.01276
s0009,train,128,104,128,10.2393,15,pancreas,50,132,0.00806
s0009,train,128,104,128,10.2393,15,duodenum,17,112,0.00684
s0009,train,128,104,128,10.2393,15,aorta,3,83,0.00507
s0009,train,128,104,128,10.2393,15,vertebrae_T12,117,77,0.0047
s0009,train,128,104,128,10.2393,15,inferior_vena_cava,39,69,0.00421
s0009,train,128,104,128,10.2393,15,gallbladder,21,57,0.00348
s0009,train,128,104,128,10.2393,15,portal_vein_and_splenic_vein,51,57,0.00348
s0009,train,128,104,128,10.2393,15,stomach,86,54,0.0033
s0010,train,128,89,128,9.4437,15,liver,44,915,0.05585
s0010,train,128,89,128,9.4437,15,kidney_left,42,208,0.0127
s0010,train,128,89,128,9.4437,15,kidney_right,43,166,0.01013
s0010,train,128,89,128,9.4437,15,stomach,86,161,0.00983
s0010,train,128,89,128,9.4437,15,autochthon_left,5,147,0.00897
s0010,train,128,89,128,9.4437,15,vertebrae_L1,100,146,0.00891
s0010,train,128,89,128,9.4437,15,autochthon_right,6,129,0.00787
s0010,train,128,89,128,9.4437,15,pancreas,50,111,0.00677
s0010,train,128,89,128,9.4437,15,colon,13,93,0.00568
s0010,train,128,89,128,9.4437,15,small_bowel,82,71,0.00433
s0010,train,128,89,128,9.4437,15,portal_vein_and_splenic_vein,51,68,0.00415
s0010,train,128,89,128,9.4437,15,aorta,3,39,0.00238
s0010,train,128,89,128,9.4437,15,duodenum,17,39,0.00238
s0010,train,128,89,128,9.4437,15,inferior_vena_cava,39,37,0.00226
s0010,train,128,89,128,9.4437,15,spleen,84,26,0.00159
s0011,train,128,59,128,6.9079,12,liver,44,201,0.01227
s0011,train,128,59,128,6.9079,12,small_bowel,82,131,0.008
s0011,train,128,59,128,6.9079,12,vertebrae_L2,101,90,0.00549
s0011,train,128,59,128,6.9079,12,autochthon_left,5,86,0.00525
s0011,train,128,59,128,6.9079,12,kidney_right,43,85,0.00519
s0011,train,128,59,128,6.9079,12,stomach,86,84,0.00513
s0011,train,128,59,128,6.9079,12,colon,13,82,0.005
s0011,train,128,59,128,6.9079,12,autochthon_right,6,78,0.00476
s0011,train,128,59,128,6.9079,12,kidney_left,42,65,0.00397
s0011,train,128,59,128,6.9079,12,pancreas,50,37,0.00226
s0011,train,128,59,128,6.9079,12,iliopsoas_right,38,29,0.00177
s0011,train,128,59,128,6.9079,12,iliopsoas_left,37,26,0.00159
s0012,train,128,114,128,8.0004,12,lung_lower_lobe_left,45,645,0.03937
s0012,train,128,114,128,8.0004,12,liver,44,574,0.03503
s0012,train,128,114,128,8.0004,12,heart,28,508,0.03101
s0012,train,128,114,128,8.0004,12,lung_lower_lobe_right,46,385,0.0235
s0012,train,128,114,128,8.0004,12,lung_middle_lobe_right,47,159,0.0097
s0012,train,128,114,128,8.0004,12,vertebrae_T10,115,131,0.008
s0012,train,128,114,128,8.0004,12,lung_upper_lobe_left,48,103,0.00629
s0012,train,128,114,128,8.0004,12,costal_cartilages,16,71,0.00433
s0012,train,128,114,128,8.0004,12,autochthon_left,5,45,0.00275
s0012,train,128,114,128,8.0004,12,autochthon_right,6,38,0.00232
s0012,train,128,114,128,8.0004,12,inferior_vena_cava,39,35,0.00214
s0012,train,128,114,128,8.0004,12,aorta,3,33,0.00201
s0013,test,128,98,128,9.5352,14,liver,44,486,0.02966
s0013,test,128,98,128,9.5352,14,stomach,86,160,0.00977
s0013,test,128,98,128,9.5352,14,colon,13,136,0.0083
s0013,test,128,98,128,9.5352,14,vertebrae_L1,100,134,0.00818
s0013,test,128,98,128,9.5352,14,kidney_left,42,129,0.00787
s0013,test,128,98,128,9.5352,14,autochthon_left,5,125,0.00763
s0013,test,128,98,128,9.5352,14,autochthon_right,6,110,0.00671
s0013,test,128,98,128,9.5352,14,spleen,84,110,0.00671
s0013,test,128,98,128,9.5352,14,kidney_right,43,99,0.00604
s0013,test,128,98,128,9.5352,14,pancreas,50,89,0.00543
s0013,test,128,98,128,9.5352,14,small_bowel,82,61,0.00372
s0013,test,128,98,128,9.5352,14,portal_vein_and_splenic_vein,51,48,0.00293
s0013,test,128,98,128,9.5352,14,duodenum,17,46,0.00281
s0013,test,128,98,128,9.5352,14,costal_cartilages,16,43,0.00262
s0014,train,128,90,128,8.5966,15,stomach,86,1165,0.07111
s0014,train,128,90,128,8.5966,15,liver,44,335,0.02045
s0014,train,128,90,128,8.5966,15,kidney_right,43,192,0.01172
s0014,train,128,90,128,8.5966,15,spleen,84,177,0.0108
s0014,train,128,90,128,8.5966,15,pancreas,50,147,0.00897
s0014,train,128,90,128,8.5966,15,autochthon_left,5,124,0.00757
s0014,train,128,90,128,8.5966,15,autochthon_right,6,115,0.00702
s0014,train,128,90,128,8.5966,15,vertebrae_L1,100,109,0.00665
s0014,train,128,90,128,8.5966,15,colon,13,64,0.00391
s0014,train,128,90,128,8.5966,15,portal_vein_and_splenic_vein,51,55,0.00336
s0014,train,128,90,128,8.5966,15,kidney_left,42,45,0.00275
s0014,train,128,90,128,8.5966,15,duodenum,17,37,0.00226
s0014,train,128,90,128,8.5966,15,vertebrae_T12,117,28,0.00171
s0014,train,128,90,128,8.5966,15,aorta,3,27,0.00165
s0014,train,128,90,128,8.5966,15,inferior_vena_cava,39,25,0.00153
s0015,train,128,126,128,9.2277,15,lung_middle_lobe_right,47,504,0.03076
s0015,train,128,126,128,9.2277,15,lung_upper_lobe_left,48,456,0.02783
s0015,train,128,126,128,9.2277,15,lung_lower_lobe_right,46,357,0.02179
s0015,train,128,126,128,9.2277,15,lung_lower_lobe_left,45,334,0.02039
s0015,train,128,126,128,9.2277,15,heart,28,257,0.01569
s0015,train,128,126,128,9.2277,15,lung_upper_lobe_right,49,135,0.00824
s0015,train,128,126,128,9.2277,15,aorta,3,112,0.00684
s0015,train,128,126,128,9.2277,15,vertebrae_T7,112,89,0.00543
s0015,train,128,126,128,9.2277,15,costal_cartilages,16,48,0.00293
s0015,train,128,126,128,9.2277,15,rib_left_8,61,42,0.00256
s0015,train,128,126,128,9.2277,15,pulmonary_vein,53,38,0.00232
s0015,train,128,126,128,9.2277,15,autochthon_left,5,32,0.00195
s0015,train,128,126,128,9.2277,15,atrial_appendage_left,4,30,0.00183
s0015,train,128,126,128,9.2277,15,sternum,85,28,0.00171
s0015,train,128,126,128,9.2277,15,autochthon_right,6,27,0.00165
s0016,train,128,123,128,9.5786,11,lung_lower_lobe_left,45,930,0.05676
s0016,train,128,123,128,9.5786,11,lung_lower_lobe_right,46,876,0.05347
s0016,train,128,123,128,9.5786,11,heart,28,649,0.03961
s0016,train,128,123,128,9.5786,11,lung_upper_lobe_left,48,262,0.01599
s0016,train,128,123,128,9.5786,11,liver,44,194,0.01184
s0016,train,128,123,128,9.5786,11,lung_middle_lobe_right,47,151,0.00922
s0016,train,128,123,128,9.5786,11,vertebrae_T11,116,143,0.00873
s0016,train,128,123,128,9.5786,11,costal_cartilages,16,121,0.00739
s0016,train,128,123,128,9.5786,11,autochthon_left,5,62,0.00378
s0016,train,128,123,128,9.5786,11,autochthon_right,6,62,0.00378
s0016,train,128,123,128,9.5786,11,aorta,3,37,0.00226
s0019,train,128,68,128,7.1582,13,stomach,86,202,0.01233
s0019,train,128,68,128,7.1582,13,liver,44,128,0.00781
s0019,train,128,68,128,7.1582,13,colon,13,96,0.00586
s0019,train,128,68,128,7.1582,13,small_bowel,82,96,0.00586
s0019,train,128,68,128,7.1582,13,vertebrae_L1,100,93,0.00568
s0019,train,128,68,128,7.1582,13,kidney_left,42,71,0.00433
s0019,train,128,68,128,7.1582,13,autochthon_left,5,69,0.00421
s0019,train,128,68,128,7.1582,13,autochthon_right,6,68,0.00415
s0019,train,128,68,128,7.1582,13,kidney_right,43,59,0.0036
s0019,train,128,68,128,7.1582,13,spleen,84,57,0.00348
s0019,train,128,68,128,7.1582,13,duodenum,17,42,0.00256
s0019,train,128,68,128,7.1582,13,pancreas,50,37,0.00226
s0019,train,128,68,128,7.1582,13,costal_cartilages,16,30,0.00183
s0021,val,128,8,128,14.3425,26,lung_upper_lobe_right,49,1125,0.06866
s0021,val,128,8,128,14.3425,26,lung_upper_lobe_left,48,1036,0.06323
s0021,val,128,8,128,14.3425,26,lung_lower_lobe_right,46,495,0.03021
s0021,val,128,8,128,14.3425,26,lung_lower_lobe_left,45,355,0.02167
s0021,val,128,8,128,14.3425,26,heart,28,341,0.02081
s0021,val,128,8,128,14.3425,26,aorta,3,218,0.01331
s0021,val,128,8,128,14.3425,26,autochthon_left,5,141,0.00861
s0021,val,128,8,128,14.3425,26,autochthon_right,6,138,0.00842
s0021,val,128,8,128,14.3425,26,costal_cartilages,16,138,0.00842
s0021,val,128,8,128,14.3425,26,vertebrae_T7,112,98,0.00598
s0021,val,128,8,128,14.3425,26,sternum,85,89,0.00543
s0021,val,128,8,128,14.3425,26,pulmonary_vein,53,77,0.0047
s0021,val,128,8,128,14.3425,26,atrial_appendage_left,4,74,0.00452
s0021,val,128,8,128,14.3425,26,vertebrae_T6,111,64,0.00391
s0021,val,128,8,128,14.3425,26,rib_left_7,60,60,0.00366
s0021,val,128,8,128,14.3425,26,scapula_left,79,57,0.00348
s0021,val,128,8,128,14.3425,26,superior_vena_cava,89,57,0.00348
s0021,val,128,8,128,14.3425,26,rib_left_6,59,42,0.00256
s0021,val,128,8,128,14.3425,26,rib_right_6,71,42,0.00256
s0021,val,128,8,128,14.3425,26,scapula_right,80,35,0.00214
s0021,val,128,8,128,14.3425,26,rib_left_3,56,31,0.00189
s0021,val,128,8,128,14.3425,26,rib_left_5,58,31,0.00189
s0021,val,128,8,128,14.3425,26,rib_right_2,67,27,0.00165
s0021,val,128,8,128,14.3425,26,esophagus,18,26,0.00159
s0021,val,128,8,128,14.3425,26,rib_left_2,55,26,0.00159
s0021,val,128,8,128,14.3425,26,rib_left_4,57,26,0.00159
s0022,train,128,110,128,10.0345,16,liver,44,1004,0.06128
s0022,train,128,110,128,10.0345,16,stomach,86,583,0.03558
s0022,train,128,110,128,10.0345,16,spleen,84,285,0.0174
s0022,train,128,110,128,10.0345,16,vertebrae_T12,117,162,0.00989
s0022,train,128,110,128,10.0345,16,autochthon_left,5,156,0.00952
s0022,train,128,110,128,10.0345,16,autochthon_right,6,151,0.00922
s0022,train,128,110,128,10.0345,16,pancreas,50,122,0.00745
s0022,train,128,110,128,10.0345,16,colon,13,107,0.00653
s0022,train,128,110,128,10.0345,16,gallbladder,21,77,0.0047
s0022,train,128,110,128,10.0345,16,costal_cartilages,16,73,0.00446
s0022,train,128,110,128,10.0345,16,duodenum,17,59,0.0036
s0022,train,128,110,128,10.0345,16,lung_lower_lobe_left,45,50,0.00305
s0022,train,128,110,128,10.0345,16,aorta,3,47,0.00287
s0022,train,128,110,128,10.0345,16,portal_vein_and_splenic_vein,51,33,0.00201
s0022,train,128,110,128,10.0345,16,inferior_vena_cava,39,28,0.00171
s0022,train,128,110,128,10.0345,16,lung_lower_lobe_right,46,25,0.00153
s0024,train,128,100,128,7.5134,10,lung_upper_lobe_left,48,324,0.01978
s0024,train,128,100,128,7.5134,10,lung_upper_lobe_right,49,203,0.01239
s0024,train,128,100,128,7.5134,10,lung_lower_lobe_right,46,201,0.01227
s0024,train,128,100,128,7.5134,10,lung_middle_lobe_right,47,136,0.0083
s0024,train,128,100,128,7.5134,10,lung_lower_lobe_left,45,130,0.00793
s0024,train,128,100,128,7.5134,10,heart,28,108,0.00659
s0024,train,128,100,128,7.5134,10,aorta,3,84,0.00513
s0024,train,128,100,128,7.5134,10,vertebrae_T6,111,32,0.00195
s0024,train,128,100,128,7.5134,10,rib_left_7,60,27,0.00165
s0024,train,128,100,128,7.5134,10,autochthon_right,6,25,0.00153
s0025,train,128,31,128,7.688,12,vertebrae_T1,106,418,0.02551
s0025,train,128,31,128,7.688,12,lung_upper_lobe_right,49,257,0.01569
s0025,train,128,31,128,7.688,12,autochthon_left,5,191,0.01166
s0025,train,128,31,128,7.688,12,autochthon_right,6,157,0.00958
s0025,train,128,31,128,7.688,12,trachea,91,129,0.00787
s0025,train,128,31,128,7.688,12,lung_upper_lobe_left,48,121,0.00739
s0025,train,128,31,128,7.688,12,esophagus,18,86,0.00525
s0025,train,128,31,128,7.688,12,vertebrae_T2,107,82,0.005
s0025,train,128,31,128,7.688,12,spinal_cord,83,55,0.00336
s0025,train,128,31,128,7.688,12,subclavian_artery_right,88,52,0.00317
s0025,train,128,31,128,7.688,12,thyroid_gland,90,48,0.00293
s0025,train,128,31,128,7.688,12,subclavian_artery_left,87,37,0.00226
s0028,train,128,99,128,6.5165,9,lung_lower_lobe_right,46,284,0.01733
s0028,train,128,99,128,6.5165,9,lung_upper_lobe_left,48,249,0.0152
s0028,train,128,99,128,6.5165,9,lung_lower_lobe_left,45,221,0.01349
s0028,train,128,99,128,6.5165,9,lung_middle_lobe_right,47,168,0.01025
s0028,train,128,99,128,6.5165,9,lung_upper_lobe_right,49,133,0.00812
s0028,train,128,99,128,6.5165,9,heart,28,78,0.00476
s0028,train,128,99,128,6.5165,9,aorta,3,44,0.00269
s0028,train,128,99,128,6.5165,9,vertebrae_T7,112,29,0.00177
s0028,train,128,99,128,6.5165,9,rib_left_7,60,28,0.00171
s0029,test,128,64,128,8.1747,15,stomach,86,172,0.0105
s0029,test,128,64,128,8.1747,15,liver,44,125,0.00763
s0029,test,128,64,128,8.1747,15,kidney_right,43,116,0.00708
s0029,test,128,64,128,8.1747,15,colon,13,99,0.00604
s0029,test,128,64,128,8.1747,15,kidney_left,42,98,0.00598
s0029,test,128,64,128,8.1747,15,autochthon_right,6,85,0.00519
s0029,test,128,64,128,8.1747,15,vertebrae_L2,101,85,0.00519
s0029,test,128,64,128,8.1747,15,autochthon_left,5,77,0.0047
s0029,test,128,64,128,8.1747,15,pancreas,50,77,0.0047
s0029,test,128,64,128,8.1747,15,spleen,84,54,0.0033
s0029,test,128,64,128,8.1747,15,gallbladder,21,39,0.00238
s0029,test,128,64,128,8.1747,15,duodenum,17,30,0.00183
s0029,test,128,64,128,8.1747,15,small_bowel,82,27,0.00165
s0029,test,128,64,128,8.1747,15,inferior_vena_cava,39,25,0.00153
s0029,test,128,64,128,8.1747,15,portal_vein_and_splenic_vein,51,25,0.00153
s0030,train,128,79,128,9.2175,14,liver,44,498,0.0304
s0030,train,128,79,128,9.2175,14,small_bowel,82,178,0.01086
s0030,train,128,79,128,9.2175,14,autochthon_left,5,168,0.01025
s0030,train,128,79,128,9.2175,14,colon,13,149,0.00909
s0030,train,128,79,128,9.2175,14,spleen,84,130,0.00793
s0030,train,128,79,128,9.2175,14,autochthon_right,6,129,0.00787
s0030,train,128,79,128,9.2175,14,kidney_left,42,124,0.00757
s0030,train,128,79,128,9.2175,14,kidney_right,43,119,0.00726
s0030,train,128,79,128,9.2175,14,vertebrae_L2,101,116,0.00708
s0030,train,128,79,128,9.2175,14,gallbladder,21,88,0.00537
s0030,train,128,79,128,9.2175,14,duodenum,17,51,0.00311
s0030,train,128,79,128,9.2175,14,pancreas,50,42,0.00256
s0030,train,128,79,128,9.2175,14,vertebrae_L1,100,31,0.00189
s0030,train,128,79,128,9.2175,14,spinal_cord,83,25,0.00153
s0031,train,128,118,128,10.1078,12,lung_lower_lobe_right,46,1442,0.08801
s0031,train,128,118,128,10.1078,12,lung_lower_lobe_left,45,1180,0.07202
s0031,train,128,118,128,10.1078,12,heart,28,474,0.02893
s0031,train,128,118,128,10.1078,12,lung_upper_lobe_left,48,183,0.01117
s0031,train,128,118,128,10.1078,12,costal_cartilages,16,129,0.00787
s0031,train,128,118,128,10.1078,12,autochthon_right,6,120,0.00732
s0031,train,128,118,128,10.1078,12,autochthon_left,5,114,0.00696
s0031,train,128,118,128,10.1078,12,liver,44,101,0.00616
s0031,train,128,118,128,10.1078,12,vertebrae_T11,116,80,0.00488
s0031,train,128,118,128,10.1078,12,lung_middle_lobe_right,47,69,0.00421
s0031,train,128,118,128,10.1078,12,aorta,3,54,0.0033
s0031,train,128,118,128,10.1078,12,vertebrae_T10,115,32,0.00195
s0032,val,128,68,128,11.089,17,lung_upper_lobe_right,49,952,0.05811
s0032,val,128,68,128,11.089,17,lung_lower_lobe_left,45,560,0.03418
s0032,val,128,68,128,11.089,17,lung_lower_lobe_right,46,551,0.03363
s0032,val,128,68,128,11.089,17,lung_upper_lobe_left,48,547,0.03339
s0032,val,128,68,128,11.089,17,heart,28,194,0.01184
s0032,val,128,68,128,11.089,17,aorta,3,126,0.00769
s0032,val,128,68,128,11.089,17,costal_cartilages,16,94,0.00574
s0032,val,128,68,128,11.089,17,lung_middle_lobe_right,47,91,0.00555
s0032,val,128,68,128,11.089,17,vertebrae_T7,112,77,0.0047
s0032,val,128,68,128,11.089,17,autochthon_left,5,63,0.00385
s0032,val,128,68,128,11.089,17,autochthon_right,6,63,0.00385
s0032,val,128,68,128,11.089,17,rib_right_7,72,43,0.00262
s0032,val,128,68,128,11.089,17,sternum,85,39,0.00238
s0032,val,128,68,128,11.089,17,vertebrae_T6,111,36,0.0022
s0032,val,128,68,128,11.089,17,scapula_left,79,34,0.00208
s0032,val,128,68,128,11.089,17,rib_left_7,60,26,0.00159
s0032,val,128,68,128,11.089,17,scapula_right,80,26,0.00159
s0034,train,128,67,128,7.7823,16,small_bowel,82,337,0.02057
s0034,train,128,67,128,7.7823,16,hip_left,29,144,0.00879
s0034,train,128,67,128,7.7823,16,gluteus_medius_left,24,143,0.00873
s0034,train,128,67,128,7.7823,16,colon,13,142,0.00867
s0034,train,128,67,128,7.7823,16,gluteus_medius_right,25,129,0.00787
s0034,train,128,67,128,7.7823,16,hip_right,30,128,0.00781
s0034,train,128,67,128,7.7823,16,iliopsoas_left,37,112,0.00684
s0034,train,128,67,128,7.7823,16,sacrum,78,102,0.00623
s0034,train,128,67,128,7.7823,16,vertebrae_S1,105,97,0.00592
s0034,train,128,67,128,7.7823,16,autochthon_right,6,73,0.00446
s0034,train,128,67,128,7.7823,16,autochthon_left,5,60,0.00366
s0034,train,128,67,128,7.7823,16,iliopsoas_right,38,45,0.00275
s0034,train,128,67,128,7.7823,16,vertebrae_L5,104,40,0.00244
s0034,train,128,67,128,7.7823,16,gluteus_maximus_right,23,39,0.00238
s0034,train,128,67,128,7.7823,16,gluteus_maximus_left,22,31,0.00189
s0034,train,128,67,128,7.7823,16,iliac_vena_left,35,26,0.00159
s0035,train,128,36,128,9.5006,15,lung_lower_lobe_right,46,691,0.04218
s0035,train,128,36,128,9.5006,15,lung_lower_lobe_left,45,579,0.03534
s0035,train,128,36,128,9.5006,15,lung_upper_lobe_left,48,406,0.02478
s0035,train,128,36,128,9.5006,15,lung_middle_lobe_right,47,340,0.02075
s0035,train,128,36,128,9.5006,15,heart,28,275,0.01678
s0035,train,128,36,128,9.5006,15,lung_upper_lobe_right,49,234,0.01428
s0035,train,128,36,128,9.5006,15,aorta,3,139,0.00848
s0035,train,128,36,128,9.5006,15,vertebrae_T9,114,114,0.00696
s0035,train,128,36,128,9.5006,15,costal_cartilages,16,89,0.00543
s0035,train,128,36,128,9.5006,15,pulmonary_vein,53,42,0.00256
s0035,train,128,36,128,9.5006,15,sternum,85,39,0.00238
s0035,train,128,36,128,9.5006,15,autochthon_right,6,33,0.00201
s0035,train,128,36,128,9.5006,15,autochthon_left,5,31,0.00189
s0035,train,128,36,128,9.5006,15,humerus_right,32,29,0.00177
s0035,train,128,36,128,9.5006,15,humerus_left,31,28,0.00171
s0036,train,128,11,128,10.0238,14,lung_upper_lobe_left,48,1706,0.10413
s0036,train,128,11,128,10.0238,14,lung_upper_lobe_right,49,1153,0.07037
s0036,train,128,11,128,10.0238,14,autochthon_right,6,410,0.02502
s0036,train,128,11,128,10.0238,14,autochthon_left,5,302,0.01843
s0036,train,128,11,128,10.0238,14,vertebrae_T3,108,231,0.0141
s0036,train,128,11,128,10.0238,14,vertebrae_T2,107,224,0.01367
s0036,train,128,11,128,10.0238,14,brachiocephalic_vein_right,9,123,0.00751
s0036,train,128,11,128,10.0238,14,rib_left_2,55,106,0.00647
s0036,train,128,11,128,10.0238,14,rib_left_3,56,99,0.00604
s0036,train,128,11,128,10.0238,14,trachea,91,91,0.00555
s0036,train,128,11,128,10.0238,14,aorta,3,84,0.00513
s0036,train,128,11,128,10.0238,14,spinal_cord,83,84,0.00513
s0036,train,128,11,128,10.0238,14,subclavian_artery_left,87,74,0.00452
s0036,train,128,11,128,10.0238,14,scapula_left,79,71,0.00433
s0037,train,128,62,128,9.8425,14,lung_lower_lobe_right,46,840,0.05127
s0037,train,128,62,128,9.8425,14,lung_lower_lobe_left,45,722,0.04407
s0037,train,128,62,128,9.8425,14,lung_upper_lobe_left,48,720,0.04395
s0037,train,128,62,128,9.8425,14,lung_middle_lobe_right,47,616,0.0376
