gen_body_masks: 1228 subjects under /nfs/data/nii/data1/Analysis/camaret___in_context_segmentation/ANALYSIS_20251122/data/totalseg
10/1228  done=6 skip=4 fail=0  18.5s/case  eta 6.3h
470/1228  done=466 skip=4 fail=0  13.2s/case  eta 2.8h
480/1228  done=476 skip=4 fail=0  13.2s/case  eta 2.8h
490/1228  done=486 skip=4 fail=0  13.3s/case  eta 2.7h
500/1228  done=496 skip=4 fail=0  13.4s/case  eta 2.7h
510/1228  done=506 skip=4 fail=0  13.4s/case  eta 2.7h
520/1228  done=516 skip=4 fail=0  13.4s/case  eta 2.6h
530/1228  done=526 skip=4 fail=0  13.5s/case  eta 2.6h
540/1228  done=536 skip=4 fail=0  13.5s/case  eta 2.6h
550/1228  done=546 skip=4 fail=0  13.5s/case  eta 2.5h
560/1228  done=556 skip=4 fail=0  13.5s/case  eta 2.5h
570/1228  done=566 skip=4 fail=0  13.5s/case  eta 2.5h
580/1228  done=576 skip=4 fail=0  13.7s/case  eta 2.5h
590/1228  done=586 skip=4 fail=0  13.7s/case  eta 2.4h
600/1228  done=596 skip=4 fail=0  13.7s/case  eta 2.4h
610/1228  done=606 skip=4 fail=0  13.7s/case  eta 2.4h
620/1228  done=616 skip=4 fail=0  13.7s/case  eta 2.3h
630/1228  done=626 skip=4 fail=0  13.8s/case  eta 2.3h
640/1228  done=636 skip=4 fail=0  13.8s/case  eta 2.2h
650/1228  done=646 skip=4 fail=0  13.8s/case  eta 2.2h
660/1228  done=656 skip=4 fail=0  13.8s/case  eta 2.2h
670/1228  done=666 skip=4 fail=0  13.8s/case  eta 2.1h
680/1228  done=676 skip=4 fail=0  13.8s/case  eta 2.1h
690/1228  done=686 skip=4 fail=0  13.8s/case  eta 2.1h
700/1228  done=696 skip=4 fail=0  13.9s/case  eta 2.0h
710/1228  done=706 skip=4 fail=0  13.9s/case  eta 2.0h
720/1228  done=716 skip=4 fail=0  13.9s/case  eta 2.0h
730/1228  done=726 skip=4 fail=0  13.9s/case  eta 1.9h
740/1228  done=736 skip=4 fail=0  13.8s/case  eta 1.9h
750/1228  done=746 skip=4 fail=0  13.9s/case  eta 1.8h
760/1228  done=756 skip=4 fail=0  13.9s/case  eta 1.8h
770/1228  done=766 skip=4 fail=0  14.0s/case  eta 1.8h
780/1228  done=776 skip=4 fail=0  14.0s/case  eta 1.7h
790/1228  done=786 skip=4 fail=0  14.0s/case  eta 1.7h
800/1228  done=796 skip=4 fail=0  14.2s/case  eta 1.7h
810/1228  done=806 skip=4 fail=0  14.2s/case  eta 1.6h
820/1228  done=816 skip=4 fail=0  14.2s/case  eta 1.6h
830/1228  done=826 skip=4 fail=0  14.2s/case  eta 1.6h
840/1228  done=836 skip=4 fail=0  14.2s/case  eta 1.5h
850/1228  done=846 skip=4 fail=0  14.2s/case  eta 1.5h
860/1228  done=856 skip=4 fail=0  14.2s/case  eta 1.5h
870/1228  done=866 skip=4 fail=0  14.2s/case  eta 1.4h
880/1228  done=876 skip=4 fail=0  14.2s/case  eta 1.4h
890/1228  done=886 skip=4 fail=0  14.2s/case  eta 1.3h
900/1228  done=896 skip=4 fail=0  14.2s/case  eta 1.3h
910/1228  done=906 skip=4 fail=0  14.2s/case  eta 1.3h
920/1228  done=916 skip=4 fail=0  14.2s/case  eta 1.2h
930/1228  done=926 skip=4 fail=0  14.2s/case  eta 1.2h
940/1228  done=936 skip=4 fail=0  14.2s/case  eta 1.1h
950/1228  done=946 skip=4 fail=0  14.2s/case  eta 1.1h
960/1228  done=956 skip=4 fail=0  14.2s/case  eta 1.1h
970/1228  done=966 skip=4 fail=0  14.2s/case  eta 1.0h
980/1228  done=976 skip=4 fail=0  14.2s/case  eta 1.0h
990/1228  done=986 skip=4 fail=0  14.2s/case  eta 0.9h
1000/1228  done=996 skip=4 fail=0  14.3s/case  eta 0.9h
1010/1228  done=1006 skip=4 fail=0  14.3s/case  eta 0.9h
1020/1228  done=1016 skip=4 fail=0  14.2s/case  eta 0.8h
1030/1228  done=1026 skip=4 fail=0  14.2s/case  eta 0.8h
