class,n_present,frac_present,mean_hu,between_subj_std_hu,within_subj_voxel_std_hu
brain,243,0.1979,45.78,26.47,62.05
vertebrae_C4,242,0.1971,550.34,134.30,308.42
vertebrae_C1,241,0.1963,605.05,135.68,380.62
vertebrae_C3,228,0.1857,521.12,129.08,307.79
kidney_cyst_left,30,0.0244,8.18,9.97,47.49
kidney_cyst_right,25,0.0204,13.08,11.83,40.28
lung_left,0,0.0000,nan,nan,nan
lung_right,0,0.0000,nan,nan,nan
intervertebral_discs,0,0.0000,nan,nan,nan
vertebrae,0,0.0000,nan,nan,nan
hip_implant,0,0.0000,nan,nan,nan
