class,n_present,frac_present,mean_z,between_subj_std_z,within_subj_voxel_std_z
vertebrae_L2,0,0.0000,nan,nan,nan
vertebrae_L3,0,0.0000,nan,nan,nan
vertebrae_L4,0,0.0000,nan,nan,nan
vertebrae_L5,0,0.0000,nan,nan,nan
vertebrae_S1,0,0.0000,nan,nan,nan
vertebrae_T1,0,0.0000,nan,nan,nan
vertebrae_T2,0,0.0000,nan,nan,nan
vertebrae_T3,0,0.0000,nan,nan,nan
vertebrae_T4,0,0.0000,nan,nan,nan
vertebrae_T5,0,0.0000,nan,nan,nan
vertebrae_T6,0,0.0000,nan,nan,nan
vertebrae_T7,0,0.0000,nan,nan,nan
vertebrae_T8,0,0.0000,nan,nan,nan
vertebrae_T9,0,0.0000,nan,nan,nan
vertebrae_T10,0,0.0000,nan,nan,nan
vertebrae_T11,0,0.0000,nan,nan,nan
vertebrae_T12,0,0.0000,nan,nan,nan
hip_implant,0,0.0000,nan,nan,nan
