class,n_present,mean_hu,between,within,ratio,family,intensity_cluster
vertebrae_T10,875,328.02,81.46,235.67,0.34565281962065597,bone,clavicula_left+53more
vertebrae_T4,736,336.07,80.86,234.56,0.3447305593451569,bone,clavicula_left+53more
sacrum,609,205.01,70.06,204.82,0.34205643980080075,bone,clavicula_left+53more
vertebrae_T12,866,305.23,77.96,228.35,0.3414057368075323,bone,clavicula_left+53more
vertebrae_L2,706,330.24,82.9,245.14,0.33817410459329367,bone,clavicula_left+53more
esophagus,1032,-5.11,59.7,176.86,0.3375551283501074,organ,esophagus
vertebrae_L3,637,336.05,81.11,245.63,0.3302121076415747,bone,clavicula_left+53more
vertebrae_L5,616,343.37,82.02,250.71,0.3271508914682302,bone,clavicula_left+53more
clavicula_left,723,480.71,128.45,393.93,0.326073160206128,bone,clavicula_left+53more
clavicula_right,718,469.59,127.79,393.03,0.32514057451085165,bone,clavicula_left+53more
vertebrae_L4,632,340.37,80.4,254.37,0.31607500884538275,bone,clavicula_left+53more
trachea,792,-858.35,60.91,209.49,0.2907537352618263,other,trachea
hip_right,636,337.9,82.52,290.75,0.2838177128116939,bone,clavicula_left+53more
scapula_left,800,358.2,81.66,292.42,0.2792558648519253,bone,clavicula_left+53more
scapula_right,778,374.11,82.06,296.39,0.2768649414622626,bone,clavicula_left+53more
hip_left,641,336.45,78.27,291.44,0.26856299752950863,bone,clavicula_left+53more
iliopsoas_left,818,48.77,11.95,53.05,0.22525918944392082,muscle,autochthon_left+9more
iliopsoas_right,819,48.19,10.84,48.72,0.22249589490968802,muscle,autochthon_left+9more
spinal_cord,1182,22.2,10.22,55.66,0.18361480416816386,other,spinal_cord
